step,loss,class_acc,lr,min_lr,weight_decay,grad_norm,test_acc1,test_acc5,test_loss,test_f1,test_auc,test_recall
165,2.6426033973693848,0.2578125,0.000274860329227522,0.000274860329227522,0.0006000000284984708,1.9270069599151611,,,,,,
166,2.498206615447998,0.3515625,0.0002782123046927154,0.0002782123046927154,0.0006000000284984708,,,,,,,
167,2.6935975551605225,0.2265625,0.0002782123046927154,0.0002782123046927154,0.0006000000284984708,2.3188636302948,,,,,,
168,2.6150176525115967,0.265625,0.00028156425105407834,0.00028156425105407834,0.0006000000284984708,,,,,,,
169,2.6600332260131836,0.2890625,0.00028156425105407834,0.00028156425105407834,0.0006000000284984708,1.909830093383789,,,,,,
170,2.5768988132476807,0.265625,0.0002849161974154413,0.0002849161974154413,0.0006000000284984708,,,,,,,
171,2.68556547164917,0.25,0.0002849161974154413,0.0002849161974154413,0.0006000000284984708,1.8858754634857178,,,,,,
172,2.5844643115997314,0.3203125,0.0002882681437768042,0.0002882681437768042,0.0006000000284984708,,,,,,,
173,2.5193030834198,0.3125,0.0002882681437768042,0.0002882681437768042,0.0006000000284984708,1.5870641469955444,,,,,,
174,2.3363494873046875,0.4375,0.0002916201192419976,0.0002916201192419976,0.0006000000284984708,,,,,,,
175,2.6635782718658447,0.234375,0.0002916201192419976,0.0002916201192419976,0.0006000000284984708,2.8276193141937256,,,,,,
176,2.613954544067383,0.2890625,0.00029497206560336053,0.00029497206560336053,0.0006000000284984708,,,,,,,
177,2.4028449058532715,0.375,0.00029497206560336053,0.00029497206560336053,0.0006000000284984708,2.5137133598327637,,,,,,
178,2.484175443649292,0.3515625,0.00029832401196472347,0.00029832401196472347,0.0006000000284984708,,,,,,,
179,2.3934779167175293,0.3515625,0.00029832401196472347,0.00029832401196472347,0.0006000000284984708,1.8248454332351685,,,,,,
180,2.481907606124878,0.3125,0.00030167598742991686,0.00030167598742991686,0.0006000000284984708,,,,,,,
181,2.5383594036102295,0.359375,0.00030167598742991686,0.00030167598742991686,0.0006000000284984708,1.6095703840255737,,,,,,
182,2.6065800189971924,0.2734375,0.0003050279337912798,0.0003050279337912798,0.0006000000284984708,,,,,,,
183,2.475985527038574,0.3125,0.0003050279337912798,0.0003050279337912798,0.0006000000284984708,2.228496789932251,,,,,,
184,2.4496593475341797,0.3515625,0.0003083798801526427,0.0003083798801526427,0.0006000000284984708,,,,,,,
185,2.5428669452667236,0.2265625,0.0003083798801526427,0.0003083798801526427,0.0006000000284984708,2.16849684715271,,,,,,
186,2.565284013748169,0.265625,0.0003117318556178361,0.0003117318556178361,0.0006000000284984708,,,,,,,
187,2.5169308185577393,0.265625,0.0003117318556178361,0.0003117318556178361,0.0006000000284984708,2.1426923274993896,,,,,,
188,2.4258413314819336,0.3671875,0.00031508380197919905,0.00031508380197919905,0.0006000000284984708,,,,,,,
189,2.5627975463867188,0.3203125,0.00031508380197919905,0.00031508380197919905,0.0006000000284984708,1.5887409448623657,,,,,,
190,2.2923598289489746,0.3671875,0.000318435748340562,0.000318435748340562,0.0006000000284984708,,,,,,,
191,2.5777149200439453,0.265625,0.000318435748340562,0.000318435748340562,0.0006000000284984708,1.9564166069030762,,,,,,
192,2.2401797771453857,0.4140625,0.0003217877238057554,0.0003217877238057554,0.0006000000284984708,,,,,,,
193,2.401669502258301,0.359375,0.0003217877238057554,0.0003217877238057554,0.0006000000284984708,2.0493645668029785,,,,,,
194,2.42830753326416,0.34375,0.0003251396701671183,0.0003251396701671183,0.0006000000284984708,,,,,,,
195,2.3305747509002686,0.40625,0.0003251396701671183,0.0003251396701671183,0.0006000000284984708,2.3696062564849854,,,,,,
196,2.4132473468780518,0.3984375,0.00032849161652848125,0.00032849161652848125,0.0006000000284984708,,,,,,,
197,2.3579845428466797,0.359375,0.00032849161652848125,0.00032849161652848125,0.0006000000284984708,2.827610731124878,,,,,,
198,2.4753928184509277,0.359375,0.0003318435628898442,0.0003318435628898442,0.0006000000284984708,,,,,,,
199,2.3134360313415527,0.4453125,0.0003318435628898442,0.0003318435628898442,0.0006000000284984708,3.1516387462615967,,,,,,
200,2.4466447830200195,0.28125,0.00033519553835503757,0.00033519553835503757,0.0006000000284984708,,,,,,,
201,2.357625961303711,0.40625,0.00033519553835503757,0.00033519553835503757,0.0006000000284984708,1.6019096374511719,,,,,,
